"№","Имя","Почта","Телефон","Описание","Источник","Статус заявки","Дата"
﻿"0","g","g@com.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: dwncvdjvn","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:02:37"
"0","g","g@com.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: dwncvdjvn","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:02:37"
"0","п","G@gmail.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: cjdnwjvbnwjwvbr","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:10:15"
"0","п","G@gmail.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: cjdnwjvbnwjwvbr","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:10:15"
"0","gh","g@gmail.vom","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: hbbhugughuhh","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:12:11"
"0","gh","g@gmail.vom","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: hbbhugughuhh","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:12:11"
"0","g","g@mail.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: fkmwkvmf","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:12:45"
"0","g","g@mail.com","+7 (999) 999-99-99","Консультация по боту: Лидогенератор
Сообщение: fkmwkvmf","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-08 18:12:45"
"0","jgjg","jgjg@gmai.com","+7 (999) 999-99-99","Консультация по боту: Автоматизация IT-поддержки
Сообщение: jdfnwjfnwfjnfrwjfnwjosdoqe","http://127.0.0.1:8000/cases/5/ | Бот: Автоматизация IT-поддержки","Не обработано","2026-05-13 10:35:12"
"0","jgjg","jgjg@gmai.com","+7 (999) 999-99-99","Консультация по боту: Автоматизация IT-поддержки
Сообщение: jdfnwjfnwfjnfrwjfnwjosdoqe","http://127.0.0.1:8000/cases/5/ | Бот: Автоматизация IT-поддержки","Не обработано","2026-05-13 10:35:12"
"0","jfrifj","dcndnvcdwjnw@nejfje.ndfnj","+7 (000) 000-00-00","Консультация по боту: Лидогенератор
Сообщение: djnvcjwdvndvndnjx","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-18 15:16:02"
"0","jfrifj","dcndnvcdwjnw@nejfje.ndfnj","+7 (000) 000-00-00","Консультация по боту: Лидогенератор
Сообщение: djnvcjwdvndvndnjx","http://127.0.0.1:8000/bots/1/ | Бот: Лидогенератор","Не обработано","2026-05-18 15:16:02"
